T,W,L,V,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0.2947,7.32359673015151e-42,0.00640446084922708,57.7830602221751,,,,,
0.1864,4.04008006580809e-42,0.00330021964758941,41.3716395061272,,,,,
0.4479,1.79572356224853e-41,0.0171717399335225,94.0195813124028,,,,,
0.38355,1.1786886043431e-41,0.011171059589814,76.1308368435256,,,,,
0.29995,7.37589791947657e-42,0.00675979953478142,58.9489109728683,,,,,
0.28755,7.24500822847809e-42,0.00628150039272844,56.8990613039273,,,,,
0.0844,2.08276972441709e-42,0.00172031962341461,29.8895001834265,,,,,
0.3418,9.30544930193211e-42,0.00868523939118515,66.8520827911957,,,,,
0.3268,9.02000992075061e-42,0.00798456170416267,64.2748545408891,,,,,
0.2421,5.23211799797905e-42,0.00464264567396067,48.8972959756232,,,,,
0.7922,2.29222576992597e-13,0.14381183317548,272.186074896489,,,,,
0.0098,0.0,0.0,0.0,,,,,
0.0259,1.4853685247036e-42,0.0010826499543106,25.6815366061282,,,,,
0.52905,2.86958200316161e-41,0.0285161056007548,121.069309525626,,,,,
0.666,1.74145685180846e-15,0.0661538024125203,185.454802469927,,,,,
0.5395,2.93743076415911e-41,0.0303793664820598,124.964520978955,,,,,
0.84695,7.2813978676281e-13,0.199367396941928,321.111693764645,,,,,
0.04205,1.53929830797647e-42,0.00130873519339105,26.3348341383189,,,,,
0.47535,2.04446853341807e-41,0.0199348095142612,101.928964158985,,,,,
0.5241,2.66376375787853e-41,0.0269058387624058,118.321223506523,,,,,
0.2587,5.8616626514225e-42,0.00525160130256984,51.9584243104522,,,,,
0.9973,5.83216719277461e-12,0.316221325700457,404.28693853271,,,,,
0.72345,3.03376862713978e-14,0.0937819368321571,220.480829825433,,,,,
0.3804,1.1616269530364e-41,0.0111570461270717,75.733626242726,,,,,
0.5632,3.31474451077022e-41,0.0344574116171302,133.559564910836,,,,,
0.701,1.21664302086511e-14,0.0827133688177242,206.218857081616,,,,,
0.93005,2.6984294940368e-12,0.279099866211256,379.392022901004,,,,,
0.96315,4.05222810954123e-12,0.299287598218472,393.440117188732,,,,,
0.35485,1.02522654444625e-41,0.00934102274628191,69.7891683609389,,,,,
0.6298,4.64323690225169e-17,0.0533733055364491,165.644096867795,,,,,
0.0227,1.61483060089508e-42,0.00125960779360043,29.7011785589095,,,,,
0.9043,1.88573709956768e-12,0.254062516908937,363.21522795532,,,,,
0.911,2.07790426852697e-12,0.262633797499317,367.935341135968,,,,,
0.1431,2.9794814371673e-42,0.00248249354488788,35.8413301065025,,,,,
0.8696,1.09013313301679e-12,0.223243243232308,339.030141096776,,,,,
0.1926,4.15284058841155e-42,0.00339442047995436,41.8531372309314,,,,,
0.7002,1.17274594188526e-14,0.0827118122170613,206.211984444423,,,,,
0.0091,0.0,0.0,0.0,,,,,
0.75635,8.90728070091893e-14,0.116422271602317,245.792522499799,,,,,
0.9386,3.01396944538477e-12,0.286122650170962,384.201078276031,,,,,
0.6709,2.41934177013073e-15,0.0685590060353721,187.743564477984,,,,,
0.1261,2.82733420055655e-42,0.00225477940943731,34.2249489698679,,,,,
0.813,3.6780000410955e-13,0.161981887689937,289.363547141765,,,,,
0.2491,5.8053447467358e-42,0.00493853104960728,50.3828773670823,,,,,
0.8284,5.07565940286928e-13,0.181357079211418,305.466899842806,,,,,
0.9723,4.49073038854007e-12,0.304607222925143,396.67779456119,,,,,
0.00495,0.0,0.0,0.0,,,,,
0.5516,3.19563649057742e-41,0.0323519846789236,129.000383238886,,,,,
0.5242,2.6690618253914e-41,0.0269227936181168,118.38426669887,,,,,
0.75245,7.93593071762654e-14,0.1127786542196,241.1380844302,,,,,
0.5464,3.13664961346551e-41,0.0314433466149309,127.708804926163,,,,,
0.925,2.52308767627163e-12,0.272645469042149,376.232326466553,,,,,
0.6004,5.05701131838892e-20,0.0442391469897895,150.808417662842,,,,,
0.92085,2.38480465040965e-12,0.271187445255756,373.928793215418,,,,,
0.98105,4.93619236442791e-12,0.309284935544751,399.608060009413,,,,,
0.82405,4.64392441470798e-13,0.172206427962241,299.189245951561,,,,,
0.4594,1.83886409829669e-41,0.0184073172185593,97.2717593518269,,,,,
0.7503,7.43946507539733e-14,0.112769085169449,240.798128125926,,,,,
0.23705,5.21568926064918e-42,0.00456197648655559,48.5485136199178,,,,,
0.08535,2.14178173219516e-42,0.0017404502592573,30.0742489414666,,,,,
0.0127,0.0,0.0,0.0,,,,,
0.6772,3.56862559913495e-15,0.0718348725015501,192.591666824146,,,,,
0.42205,1.46330874628633e-41,0.0143343863825002,85.9117345858494,,,,,
0.0651,1.84930757618809e-42,0.00153890566713471,28.208799420235,,,,,
