T,W,L,V,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
4.5049,1735.10261542056,0.29168082990699,390.269940368485,,,,,
4.8458,1735.05150275282,0.291953736334311,390.703251527375,,,,,
4.4136,1734.51029428534,0.291817863242869,390.316773272447,,,,,
4.94375,1734.70144617677,0.28490018643448,380.07211517224,,,,,
4.8086,1735.12177073518,0.287421684238382,380.091819894179,,,,,
4.76865,1734.89325944942,0.283807667934289,380.063032087738,,,,,
4.06385,1684.01328015811,0.291177978767664,388.102064738154,,,,,
4.1406,1733.52068376738,0.278644588532343,379.847362502951,,,,,
4.1817,1733.77332190144,0.279549891760929,379.887281301623,,,,,
4.3048,1734.87012414921,0.282993847575946,380.038088584335,,,,,
4.6854,1734.70030694604,0.286108451777015,379.980688325237,,,,,
4.62375,1734.75211263326,0.285725298134765,380.027762285165,,,,,
4.6129,1734.8203603466,0.286929435977249,379.999685229375,,,,,
4.62095,1734.8069875,0.291937888874447,387.832605957104,,,,,
4.9793,1734.68278655015,0.291947338886528,390.361615533114,,,,,
4.2314,1734.1335803248,0.286900200513613,380.021883821126,,,,,
4.57465,1734.89392777173,0.280076004573362,381.577719254297,,,,,
4.797,1735.05188843977,0.291227278432429,384.133069791489,,,,,
4.29105,1734.77484657101,0.291880815937901,387.411912471781,,,,,
4.9645,1734.63699871672,0.284143408000041,380.030119189401,,,,,
4.99935,1734.67071628632,0.290693239598253,388.993705890642,,,,,
4.1841,1733.6736954102,0.288792457047853,387.063961752009,,,,,
4.83525,1735.11868226243,0.292083530388086,390.66815885131,,,,,
4.0927,1703.40732469076,0.291507945859417,390.207779758772,,,,,
4.09955,1704.94387913309,0.278125607126431,380.028144163469,,,,,
4.5774,1734.8718315911,0.291880212060407,390.554685335675,,,,,
4.72025,1734.61589069288,0.287953731970773,386.476492619648,,,,,
4.59425,1734.72733127211,0.279784306232383,380.093460045282,,,,,
4.4552,1734.77097841296,0.291868862794959,389.898149712696,,,,,
4.49975,1734.95306492367,0.286300545351725,380.028362143656,,,,,
4.4883,1735.04340024572,0.288337656521305,380.322202256985,,,,,
4.0599,1683.03904474932,0.285479642428716,384.656729553433,,,,,
4.5469,1734.98429818599,0.291873992485762,390.61958806389,,,,,
4.1628,1733.50228752176,0.284309901599529,383.977384063461,,,,,
4.26525,1734.61682523883,0.279974277630048,381.507366521003,,,,,
4.0569,1672.41528372811,0.28376532089689,379.659117274968,,,,,
4.87535,1734.95601507276,0.289890278664663,388.146210633597,,,,,
4.99885,1734.67071628632,0.288778084534984,387.15565834162,,,,,
4.93775,1734.7805083754,0.291567197340371,389.838806518419,,,,,
4.5911,1734.81284194704,0.289742196242962,381.718215534575,,,,,
4.2204,1734.12252726942,0.287689691890976,379.909525681473,,,,,
4.8925,1734.771018546,0.283362104670424,379.973605461799,,,,,
4.9106,1734.82087285946,0.290438885004419,382.988151290886,,,,,
4.37625,1734.58900398196,0.285535174001568,379.967646378025,,,,,
4.54895,1734.94800221796,0.291808954469054,387.024548525513,,,,,
4.07945,1732.40609469421,0.278388158759432,380.64544437031,,,,,
4.9957,1734.6353920722,0.283413668869731,380.147984915594,,,,,
4.5974,1734.74517098582,0.29144181693221,389.723023884292,,,,,
4.31485,1734.88823863641,0.284038793304268,380.068558151381,,,,,
4.9888,1734.66822681754,0.290090526544917,388.17697551327,,,,,
4.75395,1734.8476983063,0.292005894477374,390.308647430521,,,,,
4.9586,1734.70035508406,0.291550676269563,390.144783637221,,,,,
4.02665,1632.26264343271,0.296304541913032,378.356236498297,,,,,
4.02565,1631.67275901651,0.316406473379365,378.214360439999,,,,,
4.8346,1735.07622713506,0.291522605584175,389.774161525707,,,,,
4.8887,1734.84236714131,0.291787751091796,389.053125548422,,,,,
4.6323,1734.76397640094,0.289809393993405,381.999269611369,,,,,
4.93345,1734.76581390556,0.284610201693953,379.990870532072,,,,,
4.66285,1734.74182657767,0.291324130055649,384.583503182813,,,,,
4.3147,1734.88671492735,0.284591308797227,380.068295148398,,,,,
4.59635,1734.7281918045,0.287342211434944,385.929950119802,,,,,
4.74855,1734.82003583094,0.281786936028817,380.089502649943,,,,,
4.36775,1734.70299696683,0.277773421498445,380.065046089518,,,,,
4.07985,1732.17093705619,0.280942228458793,381.976644428528,,,,,
4.3424,1734.6016835094,0.291858848077418,388.184072730613,,,,,
4.74045,1734.75098476432,0.285618332660944,384.769797144675,,,,,
4.2302,1734.2130605018,0.289417505399312,381.343713353158,,,,,
4.21375,1733.94442391076,0.280308926522156,381.733358709678,,,,,
4.50945,1735.0970302512,0.287506120623252,380.06452715652,,,,,
4.7623,1734.88068248664,0.291066910877804,389.416828731328,,,,,
4.83775,1735.00169398229,0.29202385545983,386.94448092006,,,,,
4.1195,1734.27875626687,0.281454279742555,380.041715411423,,,,,
4.30205,1734.90385339095,0.290866033798597,383.601531950879,,,,,
4.66995,1734.81202913693,0.291764689563362,390.331070669907,,,,,
4.09345,1703.51066958708,0.291522785285089,390.193683732829,,,,,
4.3007,1734.83426544487,0.291932583973274,389.558669628869,,,,,
4.9563,1734.69687705264,0.28048739299935,381.815985565756,,,,,
4.2752,1734.74785423999,0.278203419060347,380.595205283509,,,,,
4.50195,1735.10088185607,0.277815874569382,380.283340655112,,,,,
4.5719,1734.88133749476,0.286299605043094,379.990926782155,,,,,
4.1602,1733.46205097371,0.283592981266319,379.877172237341,,,,,
4.1204,1734.27653849628,0.277838362888132,380.282993414994,,,,,
4.1062,1706.25818179581,0.29065881800128,383.060208078291,,,,,
4.09805,1704.5417725019,0.284671072903103,379.909087152193,,,,,
4.4037,1734.46777592118,0.291726569084443,389.702851381687,,,,,
4.74405,1734.73905664833,0.292041200581712,389.791463115437,,,,,
4.24235,1734.26437538909,0.28521453516606,380.09942620081,,,,,
4.92565,1734.83374364191,0.282408070631891,382.845263928482,,,,,
4.6305,1734.73837981242,0.291822586178959,389.824407731492,,,,,
4.13115,1733.7047066535,0.279558014795302,381.281071079475,,,,,
4.43165,1734.62870009017,0.28901821093496,387.227288720397,,,,,
4.85205,1735.04751032179,0.279794343562224,380.085229132325,,,,,
4.47835,1734.96718926585,0.287935208181701,380.179499859904,,,,,
4.273,1734.59087697234,0.286142791425129,380.086090948822,,,,,
4.2191,1733.99873262921,0.291602383770404,386.149303533462,,,,,
4.8443,1734.95624770665,0.289533044027946,387.786616284095,,,,,
4.4178,1734.55274069542,0.284554429521653,379.946194562221,,,,,
4.22735,1734.19401168912,0.291969506927211,390.587158830405,,,,,
4.45565,1734.77598921103,0.291898828237659,388.883013864682,,,,,
4.2114,1733.90929596113,0.284873212543989,379.947364690826,,,,,
4.73845,1734.76605917071,0.280466334433542,379.993191085226,,,,,
4.1437,1733.48557055839,0.291215033625508,389.690518025478,,,,,
4.4052,1734.51692034459,0.290625766778895,383.431175568727,,,,,
4.64155,1734.62076355603,0.291818005985491,387.953794165629,,,,,
4.1557,1733.45606926475,0.291597780156541,390.184773315811,,,,,
4.0706,1713.72791352245,0.287874974098282,386.494604199587,,,,,
4.1288,1733.69873931744,0.285125689397819,379.861639256374,,,,,
4.5082,1735.02292568448,0.29111851435581,384.298753933222,,,,,
4.96995,1734.66820313868,0.291896374856322,390.636002065812,,,,,
4.1398,1733.46934781906,0.282545333556014,379.83643104232,,,,,
4.0189,1617.1836899946,29.4335181903306,383.843655974401,,,,,
4.58045,1734.80433196841,0.290990030780143,383.903308072298,,,,,
4.32715,1734.83002774377,0.280082319878227,381.577297452092,,,,,
4.1864,1733.74774695132,0.291928459741663,390.473063256212,,,,,
4.7703,1735.01749800046,0.278342563357712,380.755164403008,,,,,
4.1404,1733.47552102414,0.279681342834856,379.843152145734,,,,,
4.50305,1735.01679776669,0.284040921351312,383.808980718683,,,,,
4.9853,1734.63819957724,0.283805924617624,380.082737130377,,,,,
4.60585,1734.77756273343,0.281793300778447,382.475575478552,,,,,
4.75655,1734.90743700315,0.288214708422631,380.189572241341,,,,,
4.7134,1734.61867860894,0.292025118679414,389.087145706554,,,,,
4.61455,1734.84388926598,0.281255026923893,380.003078078476,,,,,
4.56945,1734.88881043114,0.29181853955555,387.562955489736,,,,,
4.0746,1713.57778309909,0.291266208675942,386.5792649272,,,,,
4.0779,1732.53716082669,0.28248570746171,379.725642230279,,,,,
4.01345,1619.99791159559,174.827105099464,380.23459895547,,,,,
4.252,1734.42033834601,0.286729792695834,380.011570982206,,,,,
4.35405,1734.71249917383,0.288865014782633,380.852480794405,,,,,
4.91065,1734.83530768083,0.290226744516432,382.645962339936,,,,,
