T,W,L,V,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
3.57165,1418.03258049338,244.864780588153,376.387043300754,,,,,
3.6523,1413.53975286125,249.177213307204,380.678356993605,,,,,
3.00155,1734.58869633864,5.64010976988707,389.017178909391,,,,,
3.34625,1422.71928899242,240.038400039407,376.352054455628,,,,,
3.63525,1418.99064600197,239.281991035863,376.529771511007,,,,,
3.0594,1430.7172540266,245.6221198731,382.157215701448,,,,,
3.9597,1409.06605725777,250.0181161375,386.859931774291,,,,,
3.35395,1417.84530587427,246.886388778749,376.749631818642,,,,,
3.30095,1414.3467378669,249.955763058133,384.329997571875,,,,,
3.32405,1418.35516116061,245.166722634162,376.450052453463,,,,,
3.53115,1423.39966460504,242.875959492251,376.402179145939,,,,,
3.13955,1428.26125245612,242.62913231118,377.037574867105,,,,,
3.03075,1449.37356610944,252.498314678259,389.018907325614,,,,,
3.76305,1408.54756114426,249.961443588829,387.022136600742,,,,,
3.84325,1412.98302515702,244.102982504027,380.956435456337,,,,,
3.67805,1413.16947844227,243.056604135164,380.18324215909,,,,,
3.81215,1413.81245440616,243.338526193491,380.415214822762,,,,,
3.8523,1418.10918635805,237.68300236401,376.694010841731,,,,,
3.3857,1418.12291114393,245.514865528406,376.408475781788,,,,,
3.34535,1422.76116870712,243.372470913971,376.357532240862,,,,,
3.3953,1418.10985525033,246.698766518277,376.581965281705,,,,,
3.0185,1493.84408048367,246.687340419321,384.490907106013,,,,,
3.4345,1408.87160125841,250.011464730226,385.852956542819,,,,,
3.61115,1413.88244684244,248.934028886465,380.087256599611,,,,,
3.24035,1419.43203445075,247.413447803276,377.397706077935,,,,,
3.0323,1449.14283461017,252.469689329625,387.780904401897,,,,,
3.5947,1413.67443905122,238.425108913389,377.212577653189,,,,,
3.79055,1414.05823314214,237.994646787774,376.955877234483,,,,,
3.51345,1413.27591271274,245.343289348425,381.907450927937,,,,,
3.0862,1437.43089723185,247.777217866154,377.652606734892,,,,,
3.39475,1418.10450676577,248.506072738859,378.968555665348,,,,,
3.83965,1423.15628522658,245.259513134168,376.456041794807,,,,,
3.73155,1412.444754453,249.532094005755,386.549166009672,,,,,
3.7202,1412.25274167308,247.636338594247,383.908917513071,,,,,
3.22185,1419.624374313,242.819233577482,376.573568184074,,,,,
3.3354,1423.23081453976,242.170911507652,376.382981481351,,,,,
3.1351,1418.60149848022,250.588991086686,386.996332855046,,,,,
3.92335,1413.44278990595,242.023465725369,376.533136846622,,,,,
3.46075,1414.30241532082,238.941913418293,377.627772357411,,,,,
3.3849,1418.19483728517,246.69129334176,376.671796772253,,,,,
3.1161,1429.17269654908,249.878526570784,380.920921600918,,,,,
3.5174,1413.40312751496,249.810212595239,384.642697719258,,,,,
3.74345,1407.65812984194,249.64793789923,386.391077727207,,,,,
3.48305,1414.07563869349,248.072445036728,384.314984585922,,,,,
3.1582,1422.36670988519,247.000883203582,376.933260262425,,,,,
3.50445,1418.64089625138,249.569955688557,386.430878821253,,,,,
3.2116,1424.76584124925,242.573765742889,376.573118933265,,,,,
3.5523,1417.91895647563,240.957438393077,376.407365384237,,,,,
3.22005,1419.74173392842,246.619084043086,376.619036606094,,,,,
3.38815,1418.12503457815,237.691973976443,376.53528209399,,,,,
3.9688,1413.93281775983,249.753242945782,386.800813343099,,,,,
3.1184,1429.01198547843,244.540303314207,377.10224498554,,,,,
3.5781,1408.19465772302,249.760574062424,386.756900453104,,,,,
3.2117,1424.75166928058,242.213340776421,376.571967693776,,,,,
3.17615,1421.40385160128,250.209205874391,386.897189261348,,,,,
3.83045,1423.62371774435,242.236134428827,376.456698951147,,,,,
3.92885,1408.6802589639,249.792579963366,386.682710220503,,,,,
3.033,1449.01182739531,252.446889977481,385.444031605811,,,,,
3.5276,1413.59586162187,249.806830942741,385.026745110931,,,,,
3.766,1418.62953060826,248.566330391535,379.106409445336,,,,,
3.8552,1413.05373253762,249.613147514211,386.58340405104,,,,,
3.10625,1435.30764896921,248.426268565717,378.21084417286,,,,,
3.21725,1414.65924902449,249.977725468614,386.865246643995,,,,,
3.9668,1413.8293343429,242.997739569769,380.168913401632,,,,,
3.07585,1438.72814880638,248.01744526302,377.748028956689,,,,,
3.92915,1408.6802589639,249.782957971404,386.375621293069,,,,,
3.26685,1409.56136339921,249.0539227267,385.490671927374,,,,,
3.2488,1409.34538934827,249.871208938421,385.971279903214,,,,,
3.88205,1417.60384633867,241.951599754821,376.393741705493,,,,,
3.8892,1412.73620925326,249.515163765263,382.27598794186,,,,,
3.14745,1427.72132365073,248.210688109902,378.169532448822,,,,,
3.38685,1418.07880771148,242.607662265926,376.396401151254,,,,,
3.7624,1408.37569897179,249.768977707059,386.609565821407,,,,,
3.8478,1413.10794505321,249.669164795172,383.026233167498,,,,,
3.9383,1408.71301942022,249.830050248319,386.982510337029,,,,,
3.3874,1418.07880771148,240.523691741313,376.397411798632,,,,,
3.295,1414.53277281512,238.972370202614,376.642795416654,,,,,
3.14975,1427.44595755648,242.945896310609,376.9122653866,,,,,
3.58995,1408.63194552659,249.963964812808,383.318880698195,,,,,
3.9927,1413.89197837987,249.251274587876,380.349508603778,,,,,
3.3549,1417.76346534255,245.427874382403,376.454047822021,,,,,
3.9822,1413.66513424392,249.475681051052,381.402818719256,,,,,
3.69965,1417.60137619124,247.753092656619,384.129598466458,,,,,
3.3697,1412.77186665465,247.976058760147,384.345898867069,,,,,
3.17245,1421.67038751159,241.837850637493,379.40440173358,,,,,
3.80965,1418.88706054538,243.019003456846,376.634917238863,,,,,
3.94415,1413.7568364867,241.226211772335,376.48369855178,,,,,
3.1034,1430.65596982136,250.914960329152,387.802320048545,,,,,
3.59015,1408.63194552659,249.819384373015,382.334183313907,,,,,
3.19465,1415.62981766663,249.137618563807,385.59702082133,,,,,
3.6994,1417.61505222035,246.770654535393,383.146842292157,,,,,
3.81695,1413.88505897191,249.790675522382,382.753263888437,,,,,
3.0687,1439.77429981845,239.660913857257,378.263960990922,,,,,
3.09195,1426.75393146308,250.830356082585,387.413083330356,,,,,
3.63625,1418.98924805696,239.85420831296,378.109893481131,,,,,
3.8584,1415.64516549098,249.452292863844,381.613455318907,,,,,
3.92585,1408.44534305818,244.692944101812,381.346623994404,,,,,
3.7541,1408.12747883747,249.89196734786,386.010156917016,,,,,
3.4774,1419.28168779128,248.047566006533,378.165104342503,,,,,
3.5787,1408.22305170397,249.747283026282,386.087094441562,,,,,
3.09635,1436.52832222156,247.647415842048,377.454777555338,,,,,
3.7124,1412.24956898583,249.804503390937,386.571071176275,,,,,
3.63345,1419.08839011834,245.284107129285,376.54407428733,,,,,
3.99165,1408.77595862095,250.056705876545,385.21509772211,,,,,
